"State","TSS_Enrichment","CpG_Enrichment","GeneBody_Enrichment","Count","Percent","Mean_H3K4me3","Mean_H3K27ac","Mean_H3K36me3"
"State 1",1.12,0.31,1.45,117124,46.1,0.13,0.42,0.27
"State 2",0.18,0.21,0.12,78723,31,-0.82,-1.03,-1.03
"State 3",2.03,3.96,1.39,47661,18.8,1.16,0.85,1.18
"State 4",1.13,1.15,0.85,10585,4.2,-0.52,-0.81,-0.69
