"State","TSS_Enrichment","CpG_Enrichment","GeneBody_Enrichment","Coverage_Bins","Coverage_bp","Coverage_Mb","Coverage_Pct","Num_Segments","Median_Segment_Length_Bins","Mean_Segment_Length_Bins","Median_Segment_Length_bp","Mean_Segment_Length_bp","SelfTransition","Mean_H3K4me3","Mean_H3K27ac","Mean_H3K36me3","TopMark"
"State 1",1.12,0.31,1.45,117124,23424800,23.425,46.09,5200,11,22.52,2200,4504.77,0.956,0.13,0.42,0.27,"H3K27ac"
"State 2",0.18,0.21,0.12,78723,15744600,15.745,30.98,1569,2,50.17,400,10034.8,0.98,-0.82,-1.03,-1.03,"H3K4me3"
"State 3",2.03,3.96,1.39,47661,9532200,9.532,18.76,3074,8,15.5,1600,3100.91,0.936,1.16,0.85,1.18,"H3K36me3"
"State 4",1.13,1.15,0.85,10585,2117000,2.117,4.17,3630,2,2.92,400,583.2,0.657,-0.52,-0.81,-0.69,"H3K4me3"
