"","State1","State2","State3","State4"
"State1",0.9556,3e-04,0.0262,0.0179
"State2",6e-04,0.9801,0,0.0193
"State3",0.0642,1e-04,0.9355,2e-04
"State4",0.1981,0.144,9e-04,0.6571
